Book,Chapter,Verse,ASY,TRL,ENG
,,18,ܡܵܘܠܵܕܵܐ ܕܝܼܫܘܿܥ ܡܫܝܼܚܵܐ ܗܲܕܟ݂ܵܐ ܗܘܹܐ ܠܹܗ: ܐܝܼܡܲܢ ܕܡܲܪܝܲܡ ܝܸܡܹܗ ܛܠܝܼܒܬܵܐ ܝܗ݇ܘܵܐ ܠܝܵܘܣܸܦ، ܡ̣ܢ ܩܵܕ݇ܡ ܫܵܪܲܟܬܲܝܗܝ ܦܝܼܫ ܠܵܗ̇ ܚܙܝܼܬܵܐ ܒܛܝܼܢܬܵܐ ܡ̣ܢ ܪܘܼܚܵܐ ܕܩܘܼܕܫܵܐ.,"Mawlada deeshoo' msheekha hadkha hwe-leh: eeman dmaryam yimeh ṭleebta ywa lyawsip, min qam sharaktayhy peesh-laha khzeeta bṭeenta min roekha dqoedsha.","Now the birth of Jesus Christ was on this wise: When his mother Mary had been betrothed to Joseph, before they came together she was found with child of the Holy Ghost."
,,19,ܣܵܒܵܒ ܝܵܘܣܸܦ ܓܲܒ݂ܪܘܼܗ̇ ܟܹܐܢܵܐ ܝܗ݇ܘܵܐ، ܠܵܐ ܒܥܹܐ ܠܹܗ ܕܡܲܢܟܸܦ ܗ݇ܘܵܐ ܠܵܗ̇ ܓܲܠܝܵܐܝܼܬ، ܘܬܘܼܚܡܸܢܹܗ ܕܒܛܸܫܘܵܐ ܪܲܦܹܐ ܗ݇ܘܵܐ ܠܵܗ̇.,"Sabab yawsip gawroeha kena ywa, la b'e-leh dmankip wa-laha galyaeet, o toekhmineh dbṭishwa rape wa-laha.","And Joseph her husband, being a righteous man, and not willing to make her a public example, was minded to put her away privily."
,,20,ܐܝܼܢܵܐ ܟܲܕ ܗ̇ܘ ܗܲܕܟ݂ܵܐ ܬܲܚܡܘܼܢܹܐ، ܦܝܼܫ ܠܹܗ ܚܸܙܝܵܐ ܐܸܠܹܗ ܡܲܠܲܐܟ݂ܵܐ ܕܡܵܪܝܵܐ ܒܚܸܠܡܵܐ، ܘܐ݇ܡܝܼܪܹܗ ܐܸܠܹܗ، ”ܝܵܘܣܸܦ ܒܪܘܿܢܵܐ ܕܕܵܘܝܼܕ، ܠܵܐ ܙܵܕܥܹܬ ܠܸܫܩܵܠܵܐ ܠܡܲܪܝܲܡ ܕܗܵܘܝܵܐ ܒܲܟ݂ܬܘܼܟ݂، ܣܵܒܵܒ ܗ̇ܘ ܕܦܝܼܫ ܠܹܗ ܒܛܝܼܢܵܐ ܒܝܼܘܼܗ̇ ܡ̣ܢ ܪܘܼܚܵܐ ܕܩܘܼܕܫܵܐ ܝܠܹܗ.,"Eena kad haw hadkha takhmoene, peesh-leh khizya ileh malakha dmarya bkhilma, o meereh ileh, ”yawsip broona ddaweed, la zad'et lishqala lmaryam dhawya bakhtoekh, sabab haw dpeesh-leh bṭeena beeoeha min roekha dqoedsha-yleh.","But when he thought on these things, behold, an angel of the Lord appeared unto him in a dream, saying, Joseph, thou son of David, fear not to take unto thee Mary thy wife: for that which is conceived in her is of the Holy Ghost."
,,21,”ܒܸܬ ܗܲܨܠܵܐ ܒܪܘܿܢܵܐ، ܘܒܸܬ ܩܵܪܹܝܬ ܫܸܡܹܗ ܝܼܫܘܿܥ، ܣܵܒܵܒ ܗ̇ܘ ܒܸܬ ܦܲܪܸܩ ܠܥܲܡܹܗ ܡ̣ܢ ܚܛܝܼܵܬܲܝ̈ܗܝ.“,"”Bit haṣla broona, o bit qareyt shimeh eeshoo', sabab haw bit pariq l'ameh min khṭeeatayhy.“",And she shall bring forth a son; and thou shalt call his name JESUS; for it is he that shall save his people from their sins.
,,22,ܟܠܵܗ̇ ܐܵܗܵܐ ܗܘܹܐ ܠܵܗ̇ ܕܦܵܐܹܫ ܬܘܼܡܸܡܵܐ ܡܸܢܕܝܼ ܕܦܝܼܫ ܠܹܗ ܐ݇ܡܝܼܪܵܐ ܡ̣ܢ ܡܵܪܝܵܐ ܒܝܲܕ ܢܒ݂ܝܼܵܐ، ܕܐ݇ܡܝܼܪܹܗ:,"Klaha aha hwe-laha dpaesh toemima mindee dpeesh-leh meera min Marya byad nweea, dmeereh:","Now all this is come to pass, that it might be fulfilled which was spoken by the Lord through the prophet, saying,"
,,23,ܗܵܐ ܒܬܘܼܠܬܵܐ ܒܸܬ ܒܵܛܢܵܐ ܘܒܸܬ ܗܲܨܠܵܐ ܒܪܘܿܢܵܐ، ܘܒܸܬ ܩܵܪܝܼ ܫܸܡܹܗ ܥܲܡܲܢܘܼܐܹܝܠ، ܕܦܝܵܫܵܐ ܝܠܹܗ ܦܘܼܫܩܵܐ، ”ܐܲܠܵܗܵܐ ܥܲܡܲܢ.“,"Ha btoelta bit baṭna o bit haṣla broona, o bit qaree shimeh 'amanoeeyl, dpyasha-yleh poeshqa, ”Alaha 'aman.“","Behold, the virgin shall be with child, and shall bring forth a son, And they shall call his name Immanuel; which is, being interpreted, God with us."
,,24,ܘܟܲܕ ܪܥܝܼܫ ܠܹܗ ܝܵܘܣܸܦ ܡ̣ܢ ܫܸܢܬܹܗ، ܥܒ݂ܝܼܕ ܠܹܗ ܐܲܝܟ݂ ܕܦܝܼܫ ܠܹܗ ܦܩܝܼܕܵܐ ܒܡܲܠܲܐܟ݂ܵܐ ܕܡܵܪܝܵܐ، ܘܫܩܝܼܠܵܐ ܠܹܗ ܕܗܵܘܝܵܐ ܒܲܟ݂ܬܹܗ؛,"O kad r'eesh-leh yawsip min shinteh, 'weed-leh aykh dpeesh-leh pqeeda bmalakha dmarya, o shqeela-leh dhawya bakhteh;","And Joseph arose from his sleep, and did as the angel of the Lord commanded him, and took unto him his wife;"
,,25,ܘܠܵܐ ܝ݇ܕܝܼܥܵܐ ܠܹܗ ܗܲܠ ܕܗܘܼܨܸܠ ܠܵܗ̇ ܠܒܪܘܿܢܵܐ؛ ܘܩܪܹܐ ܠܵܗ̇ ܫܸܡܹܗ ܝܼܫܘܿܥ.,O la dee'a-leh hal dhoeṣil-laha lbroona; o qre-laha shimeh eeshoo'.,and knew her not till she had brought forth a son: and he called his name JESUS.
,2.0,1,ܡ̣ܢ ܒܵܬ݇ܪ ܕܦܝܼܫ ܠܹܗ ܝ݇ܠܝܼܕܵܐ ܝܼܫܘܿܥ ܓܵܘ ܒܹܝܬܠܚܸܡ ܕܝܼܗܘܼܕܵܐ ܒܝܵܘܡܵܢܹ̈ܐ ܕܗܹܪܘܿܕܸܣ ܡܲܠܟܵܐ، ܐ݇ܬܹܐ ܠܗܘܿܢ ܡܓ݂ܘܼܫܹ̈ܐ ܡ̣ܢ ܡܲܕܢܚܵܐ ܠܐܘܿܪܸܫܠܸܡ،,"Min bar dpeesh-leh leeda eeshoo' gaw beytlkhim deehoeda byawmane dheroodis malka, te-lhoon mghoeshe min madnkha loorishlim,","Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king, behold, wise men from the east came to Jerusalem,"
,,2,ܘܒܘܼܩܸܪܗܘܿܢ، ”ܐܲܝܟܵܐ ܝܠܹܗ ܗ̇ܘ ܕܦܝܼܫ ܠܹܗ ܝ݇ܠܝܼܕܵܐ ܡܲܠܟܵܐ ܕܝܗܘܼܕܵܝܹ̈ܐ؟ ܣܵܒܵܒ ܚܙܹܐ ܠܲܢ ܠܟܵܘܟ݂ܒܹܗ ܒܡܲܕܢܚܵܐ ܘܐ݇ܬܹܐ ܠܲܢ ܕܣܵܓ݂ܕܲܚ ܐܸܠܹܗ.“,"O boeqirhoon, ”ayka-yleh haw dpeesh-leh leeda malka dyhoedaye? Sabab khze lan lkawkhbeh bmadnkha o te lan dsaghdakh ileh.“","saying, Where is he that is born King of the Jews? for we saw his star in the east, and are come to worship him."
,,3,ܐܝܼܡܲܢ ܕܫܡܝܼܥ ܠܹܗ ܗܹܪܘܿܕܸܣ ܡܲܠܟܵܐ ܐܵܗܵܐ، ܦܝܼܫ ܠܹܗ ܫܓ݂ܝܼܫܵܐ، ܘܟܠܵܗ̇ ܐܘܿܪܸܫܠܸܡ ܥܲܡܹܗ.,"Eeman dshmee' leh heroodis malka aha, peesh-leh shgheesha, o klaha oorishlim 'ameh.","And when Herod the king heard it, he was troubled, and all Jerusalem with him."
,,4,ܘܩܪܹܐ ܠܹܗ ܠܟܠܲܝܗܝ ܓܘܼܪ̈ܵܢܹܐ ܕܟܵܗܢܹ̈ܐ ܘܣܵܦܪܹ̈ܐ ܕܥܲܡܵܐ، ܘܒܘܼܩܸܪܹܗ ܡܸܢܲܝܗܝ ܐܲܝܟܵܐ ܒܸܬ ܦܵܐܹܫ ܗ݇ܘܵܐ ܝ݇ܠܝܼܕܵܐ ܡܫܝܼܚܵܐ.,"O qre-leh lklayhy goerane dkahne o sapre d'ama, o boeqireh minayhy ayka bit paesh wa leeda msheekha.","And gathering together all the chief priests and scribes of the people, he inquired of them where the Christ should be born."
,,5,ܘܐ݇ܡܝܼܪܗܘܿܢ، ”ܒܒܹܝܬܠܚܸܡ ܕܝܼܗܘܼܕܵܐ ܣܵܒܵܒ ܗܲܕܟ݂ܵܐ ܦܝܼܫܵܐ ܝܠܹܗ ܟܬܝܼܒ݂ܵܐ ܒܝܲܕ ܢܒ݂ܝܼܵܐ:,"O meerhoon, ”bbeytlkhim deehoeda sabab hadkha peesha-yleh kteewa byad nweea:","And they said unto him, In Bethlehem of Judaea: for thus it is written by the prophet,"
,,6,ܐܘܼܦ ܐܲܢ݇ܬܝ ܒܹܝܬܠܚܸܡ، ܒܐܲܪܥܵܐ ܕܝܼܗܘܼܕܵܐ، ܠܹܐ ܝܘܲܬܝ ܒܵܨܘܿܪܬܵܐ ܓܵܘ ܫܲܠܝܼܛܹ̈ܐ ܕܝܼܗܘܼܕܵܐ، ܣܵܒܵܒ ܡܸܢܵܟ݂ܝ ܒܸܬ ܦܵܠܹܛ ܫܲܠܝܼܛܵܐ، ܘܗ̇ܘ ܒܸܬ ܡܲܪܥܹܐ ܠܥܲܡܝܼ ܝܼܣܪܵܝܹܠ.“,"Oep aty beytlkhim, bar'a deehoeda, le ywaty baṣoorta gaw shaleeṭe deehoeda, sabab minakhy bit paleṭ shaleeṭa, o haw bit mar'e l'amee eesrayel.“","And thou Bethlehem, land of Judah, Art in no wise least among the princes of Judah: For out of thee shall come forth a governor, Which shall be shepherd of my people Israel."
,,7,ܗ̇ܝܓܵܗ ܩܪܹܐ ܠܹܗ ܗܹܪܘܿܕܸܣ ܠܡܓ݂ܘܼܫܹ̈ܐ ܕܬܵܦܩܝܼ ܒܝܼܹܗ ܒܛܸܫܘܵܐ، ܘܡܸܢܲܝܗܝ ܝ݇ܕܝܼܥ ܠܹܗ ܕܒܐܲܝܢܝܼ ܙܲܒ݂ܢܵܐ ܡܘܼܒܝܸܢܹܗ ܐܸܠܲܝܗܝ ܟܵܘܟ݂ܒ݂ܵܐ.,"Haygah qre-leh heroodis lmghoeshe dtapqee bee-eh bṭishwa, o minayhy dee' leh dbaynee zawna moebyineh ilayhy kawkhwa.","Then Herod privily called the wise men, and learned of them carefully what time the star appeared."
,,8,ܘܫܘܼܕܪܲܝ ܠܹܗ ܠܒܹܝܬܠܚܸܡ، ܘܐ݇ܡܝܼܪܹܗ ܐܸܠܲܝܗܝ، ”ܙܹܠ݇ܡܘܼܢ ܒܲܩܪܘܼܢ ܒܘܼܬ ܝܵܠܵܕ݇ܐ ܒܚܦܝܼܛܘܼܬܵܐ، ܘܐܝܼܡܲܢ ܕܡܘܼܫ݇ܟ̰ܸܚ ܠܵܘܟ݂ܘܿܢ ܐܸܠܹܗ، ܡܲܕܸܥܡܘܼܢ ܠܝܼ ܕܐܘܼܦ ܐܵܢܵܐ ܐܵܙܹܠ݇ܢ ܣܵܓ݂ܕܹܢ ܐܸܠܹܗ.“,"O shoedray-leh lbeytlkhim, o meereh ilayhy, ”zemoen baqroen boet yala bkhpeeṭoeta, o eeman dmoechikh lawkhoon ileh, madi'moen-lee doep ana azen saghden ileh.“","And he sent them to Bethlehem, and said, Go and search out carefully concerning the young child; and when ye have found him, bring me word, that I also may come and worship him."
,,9,ܡ̣ܢ ܒܵܬ݇ܪ ܕܫܡܝܼܥ ܠܗܘܿܢ ܡ̣ܢ ܡܲܠܟܵܐ، ܐ݇ܙܝܼܠ ܠܗܘܿܢ، ܘܗܵܐ، ܗ̇ܘ ܟܵܘܟ݂ܒ݂ܵܐ ܕܚܙܹܐ ܠܗܘܿܢ ܒܡܲܕܢܚܵܐ ܐܵܙܹܠ ܗ݇ܘܵܐ ܩܵܕ݇ܡܲܝܗܝ، ܗܲܠ ܕܐ݇ܬܹܐ ܠܹܗ ܘܟܠܹܐ ܠܹܗ ܠܥܸܠܸܠ ܡ̣ܢ ܕܘܼܟܵܐ ܕܝܼܗ݇ܘܵܐ ܝܵܠܵܕ݇ܐ.,"Min bar dshmee' lhoon min malka, zeel-lhoon, o ha, haw kawkhwa dkhze-lhoon bmadnkha azel wa qamayhy, hal dte-leh o kle-leh l'ilil min doeka deewa yala.","And they, having heard the king, went their way; and lo, the star, which they saw in the east, went before them, till it came and stood over where the young child was."
,,10,ܘܟܲܕ ܚܙܹܐ ܠܗܘܿܢ ܠܟܵܘܟ݂ܒ݂ܵܐ، ܚܕܹܐ ܠܗܘܿܢ ܚܲܕܘܼܬܵܐ ܪܵܒܵܐ ܓܘܼܪܬܵܐ.,"O kad khze-lhoon lkawkhwa, khde-lhoon khadoeta raba goerta.","And when they saw the star, they rejoiced with exceeding great joy."
,,11,ܘܥܒ݂ܝܼܪܗܘܿܢ ܠܒܲܝܬܵܐ ܘܚܙܹܐ ܠܗܘܿܢ ܠܝܵܠܵܕ݇ܐ ܥܲܡ ܡܲܪܝܲܡ ܝܸܡܹܗ، ܘܢܦܝܼܠ ܠܗܘܿܢ ܘܣܓ݂ܝܼܕ ܠܗܘܿܢ ܐܸܠܹܗ. ܗ̇ܝܓܵܗ ܦܬܝܼܚ ܠܗܘܿܢ ܣܝܼܡܵܬܲܝ̈ܗܝ، ܘܡܘܼܩܪܸܒ݂ ܠܗܘܿܢ ܐܸܠܹܗ ܕܲܫܢܹ̈ܐ: ܕܲܗܒ݂ܵܐ، ܘܠܒ݂ܘܿܢ݇ܬܵܐ، ܘܡܘܼܪܵܐ.,"O 'weerhoon lbayta o khze-lhoon lyala 'am maryam yimeh, o npeel-lhoon o sgheed-lhoon ileh. Haygah pteekh-lhoon seematayhy, o moeqriw-lhoon ileh dashne: dahwa, o lwoota, o moera.","And they came into the house and saw the young child with Mary his mother; and they fell down and worshipped him; and opening their treasures they offered unto him gifts, gold and frankincense and myrrh."
,,12,ܘܟܲܕ ܦܝܼܫ ܠܗܘܿܢ ܡܘܼܕܸܥܹܐ ܒܚܸܠܡܵܐ ܕܠܵܐ ܕܵܝܪܝܼ ܠܟܸܣ ܗܹܪܘܿܕܸܣ، ܕܝܼܪܗܘܿܢ ܠܐܲܬܪܲܝܗܝ ܒܚܕܵܐ ܐܘܼܪܚܵܐ ܦܪܝܼܫܬܵܐ.,"O kad peesh-lhoon moedi'e bkhilma dla dayree lkis heroodis, deerhoon latrayhy bkhda oerkha preeshta.","And being warned of God in a dream that they should not return to Herod, they departed into their own country another way."
,,13,ܡ̣ܢ ܒܵܬ݇ܪ ܕܐ݇ܙܝܼܠ ܠܗܘܿܢ ܡܓ݂ܘܼܫܹ̈ܐ، ܦܝܼܫ ܠܹܗ ܚܸܙܝܵܐ ܡܲܠܲܐܟ݂ܵܐ ܕܡܵܪܝܵܐ ܒܚܸܠܡܵܐ ܠܝܵܘܣܸܦ ܘܐ݇ܡܝܼܪܹܗ ܐܸܠܹܗ، ”ܩܘܼܡ، ܠܲܒܸܠ ܠܝܵܠܵܕ݇ܐ ܘܠܝܸܡܹܗ ܘܥܪܘܿܩ ܠܡܸܨܪܹܝܢ، ܘܦܘܼܫ ܬܵܡܵܐ ܗܲܠ ܕܐܵܡܪܹܢܘܼܟ݂، ܣܵܒܵܒ ܗܕܝܼܪܵܐ ܝܠܹܗ ܗܹܪܘܿܕܸܣ ܠܸܛܥܵܝܵܐ ܠܝܵܠܵܕ݇ܐ ܕܛܲܠܸܩ ܠܹܗ.“,"Min bar dzeel-lhoon mghoeshe, peesh-leh khizya malakha dmarya bkhilma lyawsip o meereh ileh, ”qoem, labil lyala o lyimeh o 'rooq lmiṣreyn, o poesh tama hal damrenoekh, sabab hdeera-yleh heroodis liṭ'aya lyala dṭaliq-leh.“","Now when they were departed, behold, an angel of the Lord appeareth to Joseph in a dream, saying, Arise and take the young child and his mother, and flee into Egypt, and be thou there until I tell thee: for Herod will seek the young child to destroy him."
,,14,ܗ̇ܝܓܵܗ ܩܝܼܡ ܠܹܗ ܝܵܘܣܸܦ ܘܫܩܝܼܠ ܠܹܗ ܠܝܵܠܵܕ݇ܐ ܙܥܘܿܪܵܐ ܘܠܝܸܡܹܗ ܒܠܲܝܠܹܐ ܘܥܪܝܼܩ ܠܹܗ ܠܡܸܨܪܹܝܢ.,Haygah qeem-leh yawsip o shqeel-leh lyala z'oora o lyimeh blayle o 'reeq-leh lmiṣreyn.,"And he arose and took the young child and his mother by night, and departed into Egypt;"
